#,,distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
868,868,0.197208,47,20,2.272126,3,0.693147,5.09902,2.197225,30.13,10968
869,869,0.511344,47,20,2.272126,4,0.693147,5.567764,2.484907,30.14,3407
870,870,0.82548,47,20,2.272126,3,0.693147,5.09902,2.302585,30.17,0
871,871,1.139616,47,20,2.272126,3,0.693147,4.472136,2.70805,30.22,0
872,872,1.059337,49,26,2.322388,3,0.693147,4.472136,2.70805,30.23,0
873,873,0.745201,49,26,2.322388,4,0.693147,3.741657,2.484907,30.23,0
874,874,0.431065,49,26,2.322388,4,0.693147,2,1.386294,30.27,0
875,875,0.116928,49,26,2.322388,3,1.098612,4.472136,2.197225,30.32,7715
876,876,0.197208,49,26,2.322388,2,0.693147,6.403124,2.70805,30.3,18824
877,877,0.511344,49,26,2.322388,2,0.693147,6.403124,2.833213,30.31,5367
878,878,0.82548,49,26,2.322388,1,0.693147,5.385165,2.397895,30.34,0
879,879,1.139616,49,26,2.322388,1,0.693147,4.795832,2.302585,30.36,0
880,880,1.061082,43,29,1.193922,1,0.693147,5.196152,1.94591,30.37,0
881,881,0.746946,43,29,1.193922,0,0.693147,4.242641,1.791759,30.35,0
882,882,0.43281,43,29,1.193922,1,0.693147,4.242641,1.386294,30.36,91
883,883,0.118674,43,29,1.193922,2,0.693147,5.09902,1.386294,30.39,12388
884,884,0.195462,43,29,1.193922,2,0.693147,6.244998,1.386294,30.33,20205
885,885,0.509599,43,29,1.193922,3,0.693147,6.244998,1.386294,30.29,5310
886,886,0.823735,43,29,1.193922,3,0.693147,6.082763,1.386294,30.27,0
887,887,1.137871,43,29,1.193922,2,0.693147,6.082763,1.791759,30.27,0
888,888,1.061082,49,19,1.808289,3,0.693147,5.656854,1.386294,30.24,0
889,889,0.746946,49,19,1.808289,3,0.693147,4.795832,1.386294,30.22,0
890,890,0.43281,49,19,1.808289,4,0.693147,5.09902,1.386294,30.19,104
891,891,0.118674,49,19,1.808289,4,0.693147,5.385165,1.386294,30.19,881
892,892,0.195462,49,19,1.808289,4,1.386294,3.741657,1.94591,30.07,2223
893,893,0.509599,49,19,1.808289,4,1.94591,3.741657,2.397895,29.99,612
894,894,0.823735,49,19,1.808289,4,2.079442,2,2.397895,29.9,0
